INDEX_;CARD_;MEANING_;REVERSED_;EXTRAS_;IMAGE_;EOL_
01;THE FOOL, O;Folly, Mania, Extravagance, Intoxication, Delirium, Frenzy, Bewrayment;Negligence, Absence, Distribution, Carelessness, Apathy, Nullity, Vanity.;In many esoteric systems of tarot card interpretation, The fool is interpreted as the protagonist of a story, and the Major Arcana are the path the fool takes through the great mysteries of life.;00_00_fool.jpg;
02;THE MAGICIAN, I;Represents potential and tapping into one's talents. Skill, Diplomacy, Address, Sickness, Pain, Loss, Disaster, Self-Confidence, Will, The Querent Himself (if male);Potential and talents are unfocused and unmanifested. Can also be interpreted as related to black magick, madness or mental distress. Physician, Magus, Mental Ills, Disgrace, Disquiet;Associated with the planet mercury, and hence the signs of Gemini and Virgo;00_01_magician.jpg;
03;THE HIGH PRIESTESS, II;Secrets, mystery, the future as yet unrevealed. The woman that interests the Querent (if male). The Querent (if female). Silence, Tenacity, Wisdom, Science;Passion, Moral or Physical Ardor, Conceit, Surface Knowledge;;00_02_high_priestess.jpg;
04;THE EMPRESS, III;Fruitfulness, action, initiative, length of days, clandestine, the unknown, difficulty, doubt, ignorance;Light, truth, the unraveling of involved matters, public rejoicings according to another reading, vacillation or hesitance;;00_03_empress.jpg;
05;THE EMPEROR, IV;Authority, establishment, structure, a Father Figure. Stability, Power, Aid, Protection, A great person, Conviction, Reason;Domination, Excessive Control, Lack Of Discipline, Inflexibility. Benevolence, Compassion, Credit, also confusion to enemies, obstruction, immaturity;;00_04_emperor.jpg;
06;THE HERIOPHANT, V;Marriage, alliance, captivity, servitude, mercy and goodness, Inspiration, the man to whom the Querent has recourse;Society, good understanding, concord, over kindness, weakness;In astrology, the hierophant is associated with the feminine, fixed-earth sign of Taurus and it's ruling planet, Venus;00_05_hierophant.jpg;
07;THE LOVERS, VI;Attraction, Love, Beauty, Trials Overcome;Failure, foolish designs. Another account speaks of marriage frustrated and contrarieties of all kinds;;00_06_lovers.jpg;
08;THE CHARIOT, VII;Succour, providence, also war, thriumph, presumption, vengeance, trouble;Riot, quarrel, dispute, litigation, defeat;;00_07_chariot.jpg;
09;STRENGTH, VIII;Power, energy, action, courage, magnanimity. also complete success and honours;Despotism, abuse of power, weakness, discord, sometimes even disgrace;In astrology, the strength card is associated with the masculine, fixed-fire sign of leo and its ruling planetary body, the Sun;00_08_strength.jpg;
10;THE HERMIT, IX;Prudence, also and specially treason. dissimulation, corruption, roguery, circumspection;Concealment, Disguise, Policy Fear, Unreasoned Caution;;00_09_hermit.jpg;
11;FORTUNE WHEEL, X;Destiny, fortune, success, elevation, luck, felicity;Increase, abundance, superfluity;;00_10_wheel_of_fortune.jpg;
12;JUSTICE, XI;Equity, rightness, probity, executive;Law in all its departments, legal complications, bigotry, bias, excessive severity;;00_11_justice.jpg;
13;THE HANGED MAN, XII;Wisdom, circumspection, discernment, trials, sacrifice, intuition, divination, prophecy;Selfishness, the crowd, body politic;;00_12_hanged_man.jpg;
14;DEATH, XIII;End, mortality, destruction, corruption. Also, for a man, the loss of a benefactor, for a woman, many contrarieties, for a maid, failure of marriage projects;Inertia, sleep, lethargy, petrifaction, somnambulism, hope destroyed;;00_13_death.jpg;
15;TEMPERANCE, XIV;Economy, moderation, frugality, management, accommodation;Things connected with churches, religions, sects, the priesthood, sometimes even the priest who will marry Querent, also dis-union, unfortunate combinations, competing interests;;00_14_temperance.jpg;
16;THE DEVIL, XV;Ravage, violence, vehemence, extraordinary efforts, force, fatality. That which is predestined but is not for this reason evil;Evil fatality, weakness, pettiness, blindness;;00_15_devil.jpg;
17;THE TOWER, XVI;Misery, distress, ruin, indigence, adversity, calamity, disgrace, deception. It is a card in particular of unforeseen catastrophe;According to one account, the same but lesser degree. Negligence, absence, distribution, carelessness, distraction, apathy, nullity, vanity. Oppression, Imprissionment, Tyranny;;00_16_tower.jpg;
18;THE STAR, XVII;Loss, Theft, Privation, Abandonment, although another reading suggests hope and bright prospects in the future;Arrogance, haughtiness, impotence;In astrology, The Star card is associated with the planet Uranus and Aquarius zodiac sign;00_17_star.jpg;
19;THE MOON, XVIII;Hidden enemies, danger, calumny, darkness, terror, deception, occult forces, error;Instability, inconstancy, silence, lesser degrees of deception and error;In astrology, The Moon card is associated with the mutable-water sign of Pisces and its ruling planet, Neptune;00_18_moon.jpg;
20;THE SUN, XIX;Material happiness, fortunate marriage, contentment;The same in a lesser sense;;00_19_sun.jpg;
21;JUDGEMENT, XX;Change of Position. Out-Come. Rebirth, inner-calling, absolution, karma, causality, second chance;Reflection, self-evaluation, introspection, simplicity, deliveration, decision, sentence;;00_20_judgement.jpg;
22;THE WORLD, XXI;Assured success, recompense, voyage, route, emigration, flight, change of place;Inertia, fixity, stagnation, permanence;;00_21_world.jpg;
23;ACE OF WANDS;Inspiration, new opportunities, growth, potential. Creation, Invention, Enterprise, Origin, Birth;An emerging idea, lack of direction, distractions, delays. Fall, Decadence, Ruin, Perdition, Clouded Joy;;01_01_wands.jpg;
24;two of wands;Future planning, progress, decisions, discovery;Personal goals, inner alignment, fear of unknown, lack of planning;;01_02_wands.jpg;
25;three of wands;Progress, expansion, foresight, overseas opportunities;Playing small, lack of foresight, unexpected delays;;01_03_wands.jpg;
26;four of wands;Celebration, joy, harmony, relaxation, homecoming;Personal celebration, inner harmony, conflict with others, transition;;01_04_wands.jpg;
27;five of wands;Conflict, disagreements, competition, tension, diversity;Inner conflict, conflict avoidance, tension release;;01_05_wands.jpg;
28;six of wands;Success, public recognition, progress, self-confidence;Private achievement, personal definition of success, fall from grace, egotism;;01_06_wands.jpg;
